"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"C4orf45",2.60465201022242e-42,-4.85603969748739,0.019,0.209,1.63337727561048e-37
"BRMS1",2.05501100227224e-31,-3.72261184017158,0.186,0.364,1.28869739952492e-26
"ENSG00000270066",6.38231424936004e-29,0.942865691007719,0.74,0.687,4.00234926577368e-24
"7SK",1.05615944810488e-27,-0.71688061513664,0.973,0.992,6.62317589906568e-23
"NPIPB4",6.89628259584999e-27,0.692061146838714,0.657,0.605,4.32465881585753e-22
"SNHG22",6.4732789434152e-25,0.670406527391105,0.952,0.899,4.05939322541567e-20
"NBEAL2",4.58148479018094e-24,0.552579017712535,0.873,0.829,2.87304911192247e-19
"MTND2P28",5.28557910456269e-23,4.44674970000636,0.108,0.008,3.31458665647127e-18
"MDGA1",1.29126366924585e-19,2.24731859672415,0.172,0.048,8.09751446984073e-15
"ZFYVE28",4.35882496623871e-18,0.56143208679141,0.792,0.711,2.7334191363283e-13
"SPOCK2",5.61473910546268e-18,0.577691052348146,0.781,0.757,3.52100289303565e-13
"EPB41L4A",8.03231000601987e-18,-1.47357329937673,0.154,0.362,5.03706160477506e-13
"FAM118A",2.0880227369196e-17,0.724341946792149,0.647,0.564,1.30939905832228e-12
"AHNAK",1.66191116017677e-16,0.575718843907785,0.888,0.867,1.04218448854685e-11
"ENSG00000268081",3.55315502610008e-16,-1.76759184443362,0.042,0.179,2.22818351686736e-11
"ENSG00000278996",4.26988668100862e-16,-0.684043178854009,0.847,0.918,2.67764593766051e-11
"PLEC",2.14635368285058e-15,0.541507791923601,0.788,0.792,1.3459783945156e-10
"ENSG00000288016",3.41563697087953e-15,2.64088307128029,0.101,0.024,2.14194594443855e-10
"MAFIP",3.76215029929223e-15,-1.14054287474623,0.185,0.384,2.35924445268615e-10
"ABTB3",5.2409551008329e-15,0.51722443565555,0.632,0.526,3.28660294373231e-10
"MTCO1P12",5.3310308897688e-15,1.76302864868925,0.189,0.078,3.34308947097401e-10
"NXF1",6.02414188464829e-15,0.44353158971675,0.612,0.613,3.77773937586294e-10
"GRAMD1B",7.9275157421473e-15,0.499252277137475,0.774,0.678,4.97134512190057e-10
"SKIL",9.50692618930677e-15,0.506065922936475,0.708,0.684,5.96179341331428e-10
"MLLT6",1.84363480882465e-14,0.453162983464129,0.721,0.684,1.15614338861394e-09
"RBPJ",1.8891202906955e-14,0.510437485703292,0.854,0.829,1.18466733429515e-09
"FMNL1",2.41619843335684e-14,0.309785271266534,0.887,0.911,1.51519803755808e-09
"ERN1",2.56225334661443e-14,0.769543687312069,0.562,0.489,1.60678907366191e-09
"RN7SL3",3.00902409155885e-14,-4.10123172529012,0.001,0.06,1.88695900781655e-09
"HLA-H",4.35025858377677e-14,0.563441312822957,0.53,0.447,2.72804715788641e-09
"MT-ND4",4.61890300848582e-14,0.387755986506065,0.843,0.859,2.89651407662146e-09
