"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"7SK",1.47949641177601e-41,-1.01681479192564,0.96,0.983,9.27792199824733e-37
"C4orf45",2.15081494905984e-23,-4.31754345287313,0.019,0.161,1.34877605455543e-18
"LINC02446",1.9435619791963e-22,-1.52432684479471,0.21,0.457,1.218807717154e-17
"B2M",5.83426269162764e-22,-0.526788820399599,0.973,0.992,3.65866613391969e-17
"MAFIP",2.21566913103869e-19,-1.53710470198275,0.135,0.364,1.38944611207437e-14
"NBEAL2",2.5868762955261e-19,0.682784300836734,0.874,0.767,1.62223012492442e-14
"MALAT1",8.69500639571569e-19,-0.263651250832025,1,1,5.45263851075331e-14
"MDGA1",5.70762149894274e-18,2.08920164434318,0.203,0.047,3.57924944198699e-13
"BRMS1",3.47780495243705e-15,-3.1081424500864,0.161,0.268,2.18093148567328e-10
"BCL9L",1.21123134568512e-14,0.541256844098645,0.904,0.805,7.59563176879138e-10
"MYH9",1.56947264514791e-14,0.275815167741311,0.996,0.966,9.84216295772251e-10
"GRAMD1C",3.68303641165018e-14,-1.52318123447116,0.139,0.323,2.30963213374583e-09
"HDGFL3",5.40918042575975e-14,-2.01515598912631,0.051,0.197,3.39209704499394e-09
"SKI",4.32518327846737e-13,0.535807296451531,0.909,0.831,2.71232243392689e-08
"MTCO1P12",4.65526085249549e-13,1.83684423905556,0.212,0.068,2.91931408059992e-08
"ZMIZ1",8.96159264904302e-12,0.777937875984356,0.634,0.505,5.61981475021488e-07
"CLDND1",1.39315081999222e-11,-0.988224199804129,0.361,0.539,8.7364487921712e-07
"ERN1",1.84472205115635e-11,0.80580648093924,0.586,0.457,1.15682519828015e-06
"EVI5",2.31154380192548e-11,1.8778840099131,0.182,0.078,1.44956911818747e-06
"C1orf21",2.60436566711512e-11,0.323773906202054,0.982,0.926,1.63319770984789e-06
"EPB41L4A",7.82064626779942e-11,-0.936145259036888,0.197,0.385,4.90432727453702e-06
"TOGARAM2",7.90994341770092e-11,1.23717041665248,0.309,0.182,4.96032551724025e-06
"ENSG00000288016",1.35869227421608e-10,2.52833147883409,0.121,0.027,8.52035925160902e-06
"RPS27",1.6925413400458e-10,-0.743042983180443,0.572,0.687,1.06139267434272e-05
"NFATC2",2.24634546304478e-10,0.205620258297723,0.987,0.924,1.40868323987538e-05
"NXF1",2.70921642726973e-10,0.751490649375674,0.582,0.438,1.69894962154085e-05
"RPS26",2.79111514632322e-10,-0.815467738831506,0.469,0.611,1.75030830825929e-05
"PLCXD2",2.85111908905547e-10,0.386745428503469,0.803,0.681,1.78793678074668e-05
"PTMA",6.39860346268479e-10,-0.337724000850184,0.91,0.964,4.01256423144963e-05
"FMN1",6.79987503377045e-10,-1.84174355711973,0.095,0.182,4.26420163367745e-05
