"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"7SK",7.03978514570098e-55,-0.888108500012259,0.975,0.989,4.41464926486908e-50
"SH2D1B",4.43971988608502e-37,-0.922149829367184,0.418,0.764,2.78414834056392e-32
"BRMS1",2.06440304368381e-36,-4.10541796482377,0.136,0.277,1.29458714869412e-31
"KLRC1",4.55781271142268e-36,2.69607935478297,0.288,0.073,2.85820435133316e-31
"GNAL",3.9418268855745e-34,-1.83865156547681,0.189,0.505,2.47191963994377e-29
"C4orf45",1.13728064012757e-32,-4.17176969827999,0.022,0.198,7.13188689424001e-28
"DOCK5",2.45247691119736e-29,2.32302357783499,0.277,0.076,1.53794827101187e-24
"MIR181A2HG",1.05228500929076e-27,-1.14606840446729,0.214,0.502,6.59887929326234e-23
"PARP8",2.64659961626336e-27,0.589509629421231,0.955,0.916,1.65968261935875e-22
"PLXND1",5.16396575409704e-23,1.82285330100189,0.309,0.134,3.23832292439425e-18
"MDGA1",7.92436298966351e-23,3.18101820513884,0.139,0.02,4.96936803081799e-18
"ENSG00000278996",3.38595197773164e-22,-0.779042149401229,0.786,0.872,2.12333048523551e-17
"ENSG00000288016",1.94259918136595e-21,2.7311593241479,0.167,0.033,1.21820394663459e-16
"TXK",1.05437627598296e-20,1.04705921203388,0.542,0.324,6.61199362668917e-16
"B4GALT1",1.37949036442012e-19,-0.802794993557354,0.577,0.809,8.65078407527859e-15
"LAT2",7.06741470361329e-19,1.15929882976751,0.476,0.31,4.43197576063589e-14
"IKZF2",1.90389926162959e-18,0.519178832389563,0.466,0.258,1.19393522696792e-13
"MARCHF3",1.93835404247876e-18,2.0401316837607,0.278,0.134,1.21554182003843e-13
"ENSG00000276241",2.31594870433211e-18,-1.08722045915802,0.234,0.477,1.45233143248667e-13
"RN7SL3",4.5813319366706e-18,-5.95631440274798,0,0.068,2.87295325748613e-13
"ENTPD1",4.91165248719882e-18,-2.23094748090101,0.072,0.237,3.08009727472238e-13
"SKAP2",9.19452084143898e-18,1.32837429592475,0.363,0.187,5.76588401966639e-13
"ENSG00000286423",1.65028628027595e-17,-3.75104472220716,0.006,0.099,1.03489452636105e-12
"ENSG00000270066",3.25662834962832e-17,0.8924887467789,0.622,0.518,2.04223163805192e-12
"ERN1",4.55901493689798e-17,0.905676968689716,0.544,0.427,2.85895826692872e-12
