"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"C4orf45",9.36795012290604e-13,-6.46826404726096,0.005,0.205,5.87464152207438e-08
"BRMS1",1.9345905006333e-10,-3.65758012606548,0.134,0.265,1.21318170294714e-05
"7SK",3.73229546758976e-10,-0.803580822091061,0.977,1,2.34052248772554e-05
"NPIPB4",1.08469735806108e-09,1.07649514688886,0.76,0.636,6.80213713240106e-05
"ENSG00000287092",8.49155632164052e-08,1.23819135073139,0.747,0.538,0.00532505496930077
"MTCO1P12",1.80745685227071e-06,3.10193265261596,0.136,0.023,0.113345619205896
"HLA-DQB1",7.22711223468121e-06,-0.815808663879296,0.217,0.523,0.453212208236859
"ENSG00000278996",7.60269950121654e-06,-0.765567230571625,0.684,0.848,0.476765285721289
"NAV2",1.07100911568751e-05,-1.93702905390529,0.131,0.326,0.671629816447636
"TNFAIP3",2.24814808671706e-05,-0.683590956205445,0.437,0.758,1
"HLA-DRB5",3.36997961910847e-05,1.3806029464091,0.306,0.197,1
"MPZL1",3.83505580912008e-05,1.88597316461513,0.247,0.136,1
"ARID5B",4.52353138714616e-05,0.501982525815069,0.922,0.924,1
"RNASET2",5.68768437308241e-05,1.40257661991399,0.462,0.311,1
"ADAM28",6.45835703481389e-05,-0.571422503725343,0.833,0.97,1
"ST8SIA1",7.2203197594371e-05,3.00590250282194,0.101,0.091,1
"LPCAT1",8.70344187338667e-05,-0.476655763705815,0.376,0.667,1
"LINC01250",8.9602449019928e-05,-2.41981205685274,0.043,0.174,1
"MDGA1",0.000100989995168209,2.85429503042368,0.073,0.008,1
"ENSG00000283907",0.000154799496649512,2.32621555628479,0.157,0.098,1
"TARDBP",0.000170894845476598,0.700590991874312,0.472,0.432,1
"MAPK8IP1",0.000179444400450148,-3.48728517986531,0.003,0.068,1
"EIF1",0.000241441010721849,-0.800921652545028,0.338,0.614,1
"MROH1",0.000252330765599584,1.36247144975841,0.27,0.152,1
"HMGB1P5",0.000258628287000912,1.54704129897023,0.189,0.083,1
"HLA-V.1",0.000274566508154939,2.59285076037167,0.038,0,1
"GANAB",0.000340113809081757,-0.436117041487458,0.386,0.659,1
"NRP2",0.00035634369072772,-1.09591399508855,0.205,0.424,1
"RN7SKP255",0.000375582925649987,-1.03906009250211,0.068,0.22,1
"TDRD3",0.000393662561362751,-0.00950302146597426,0.227,0.379,1
"NMT2",0.000415272719095209,0.947407725878761,0.328,0.235,1
"HPCAL1",0.00043694448859026,0.855931278379337,0.318,0.273,1
"ARL6IP1",0.000471789422151678,-0.836003149088,0.22,0.492,1
"SMG1P3",0.000475227534450001,0.880302926543521,0.412,0.333,1
"PRELID3B",0.00051025371416101,-1.14814628376974,0.066,0.22,1
"EPS15",0.000636879884818326,-0.396085883392511,0.909,1,1
"ENSG00000237720",0.000646335888228777,-3.65738770308206,0.01,0.083,1
"MBNL2",0.000651809779021514,0.1921788068123,0.732,0.667,1
"NPIPB5",0.000656482368127991,0.74320487055211,0.404,0.364,1
"PAM",0.000659900103715151,1.30914647813817,0.457,0.333,1
"OSBPL10",0.000667981347285786,0.704470407232591,0.551,0.462,1
"DDX17",0.00067590797224701,0.329128042015499,0.922,0.917,1
"PPM1K",0.000712579997087003,0.515753656501021,0.591,0.538,1
"HMGB1",0.000738467100750473,-0.345902429344466,0.763,0.841,1
"PLEKHF1",0.000751109819716577,-4.35378848654016,0,0.03,1
"PDXDC1",0.000763318153229861,0.542927586384242,0.639,0.614,1
"XXYLT1",0.000771058594798005,-0.403656898365636,0.136,0.295,1
"GOLGA2",0.000787158787269904,1.31273185134442,0.237,0.114,1
"PIK3R3",0.000832503369476692,-4.34491297635378,0,0.038,1
"RAPGEF1",0.000873708235400628,0.299709470671848,0.96,0.97,1
"LINC02482",0.000889828233965722,3.63721874538085,0.045,0,1
"LINC01374",0.000910367103060399,1.57202310972897,0.131,0.106,1
"THOC3",0.000955127320305382,-1.19253002113573,0.164,0.379,1
"CYP2U1",0.000956880191526344,1.61312423407432,0.104,0.038,1
