"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000270066",7.35204655937104e-42,1.26149992213736,0.714,0.627,4.61046839738158e-37
"ATXN7L1",3.28303068391716e-32,1.00701067440032,0.718,0.564,2.05878854188445e-27
"FAM222A",4.81539716080135e-30,-2.70557284393321,0.095,0.286,3.01973555953852e-25
"7SK",5.61808989478054e-30,-0.740325688688581,0.971,0.988,3.52310417301688e-25
"FGF18",8.60378422745919e-30,-3.41840036204167,0.016,0.154,5.39543308903966e-25
"NR4A1",1.78838482030849e-29,-2.49588813839572,0.09,0.272,1.12149612081546e-24
"SRRM2",4.10754523905059e-28,0.488445547261068,0.963,0.955,2.57584161940863e-23
"C4orf45",3.59502691709172e-27,-4.46856417438761,0.015,0.178,2.25444137970822e-22
"NBEAL2",3.98937122673014e-27,0.713762481721917,0.703,0.595,2.50173469628247e-22
"KCNQ1OT1",1.34913637160306e-26,-3.17715352397011,0.12,0.308,8.4604341863228e-22
"NPIPB4",4.44381358366447e-26,0.826158672002337,0.563,0.533,2.78671549831599e-21
"GADD45B",5.94279357716352e-26,-1.97801105141076,0.206,0.422,3.72672585223925e-21
"RNF19A",2.96501055988011e-25,0.640190697875675,0.831,0.763,1.85935812210082e-20
"ENSG00000273734",6.65951989438079e-25,-2.46775476594577,0.13,0.347,4.17618492576619e-20
"FOS",1.24112637258567e-24,-1.851392575061,0.168,0.38,7.78310348248474e-20
"SNHG22",4.1622316669787e-24,0.85328204641205,0.9,0.856,2.61013547836234e-19
"UBE2S",8.32387193630537e-24,-2.60932525770887,0.098,0.292,5.2199000912571e-19
"CD6",8.67498912888335e-24,0.595028533395066,0.857,0.792,5.44008568272275e-19
"ATP8A1",1.81362592609671e-23,0.152459817444156,0.914,0.815,1.13732481825524e-18
"HSPA1B",4.70793278774877e-23,-2.02350707409578,0.115,0.297,2.95234465119725e-18
"BAIAP2",5.84683237763936e-23,-2.7964797534533,0.076,0.232,3.66654858401764e-18
"CDHR3",6.54827396513741e-23,1.12135389411329,0.454,0.308,4.10642260353767e-18
"FOSB",9.58137190689154e-23,-1.47384915611896,0.209,0.395,6.00847832281169e-18
"ENSG00000271793",1.00098035495267e-22,-1.61388735921025,0.398,0.644,6.27714780590818e-18
"CKS2",1.13766321750255e-22,-2.9331164603338,0.026,0.155,7.13428603695851e-18
"HSPA1A",1.57567632458493e-22,-1.77289592833179,0.146,0.309,9.88106623147209e-18
"HSPA6",1.94790409003737e-22,-2.90595781892704,0.03,0.15,1.22153065486243e-17
"NPHS1",2.39472941421222e-22,-3.1899330333569,0.008,0.112,1.50173481565249e-17
"PITPNC1",2.88278174560034e-22,0.491683674631775,0.966,0.926,1.80779243266597e-17
"FUS",3.95607393615192e-22,-1.08958335495982,0.827,0.944,2.48085396536087e-17
"DNAJB1",4.03606341990657e-22,-1.78678449580439,0.404,0.604,2.53101537062341e-17
"DUSP1",5.60244471606984e-22,-1.92998780608299,0.142,0.33,3.5132930814474e-17
"CD96",1.47180688932702e-21,0.449212780520087,0.891,0.837,9.22970100296975e-17
"INTS6",3.04580723284798e-21,-1.6721330131535,0.577,0.762,1.91002571571897e-16
"PDE4D",1.08610340922954e-20,0.51043050677541,0.861,0.79,6.81095447927846e-16
"P2RY8",1.48201669968764e-20,0.674185931660981,0.879,0.827,9.29372672374116e-16
"TUBB4B",2.96933552796804e-20,-2.26311504586875,0.1,0.278,1.86207030958876e-15
"CLEC2D",5.47557752058833e-20,0.264721502886868,0.896,0.823,3.43373466316094e-15
